eps_deg,sample_idx,D_m,R_star_m,q
0.2,164,11.358709,5.679354,1.000000
0.2,165,3.087783,1.543892,1.000000
0.2,166,4.132840,2.066420,1.000000
0.2,167,8.913753,4.456876,1.000000
0.2,168,1.169002,0.584501,1.000000
0.2,169,2.824454,1.412227,1.000000
0.2,170,2.178532,1.117754,1.026153
0.2,171,0.995039,0.497519,1.000000
0.2,172,3.194783,1.598392,1.000627
0.2,173,7.004301,3.502151,1.000000
0.2,174,4.624267,2.312134,1.000000
0.2,175,4.071997,2.035999,1.000000
0.2,176,1.971096,0.985548,1.000000
0.2,177,4.300090,2.160786,1.004995
0.2,178,20.570401,10.285201,1.000000
0.2,179,2.415026,1.207513,1.000000
0.2,180,3.402483,1.701241,1.000000
0.2,181,1.569557,0.784778,1.000000
0.2,182,7.860963,3.930481,1.000000
0.2,183,5.622365,2.811183,1.000000
0.2,184,7.030846,3.515423,1.000000
0.2,185,10.954812,5.477406,1.000000
0.2,186,4.678325,2.339163,1.000000
0.2,187,1.569183,0.784591,1.000000
0.2,188,4.206187,2.103093,1.000000
0.2,189,1.866353,0.933176,1.000000
0.2,190,2.251671,1.125835,1.000000
0.2,191,4.976386,2.488193,1.000000
0.2,192,1.915580,0.957790,1.000000
0.2,193,9.467236,4.733618,1.000000
0.2,194,4.615471,2.307736,1.000000
0.2,195,1.519279,0.759639,1.000000
0.2,196,3.352091,1.676046,1.000000
0.2,197,2.156075,1.078038,1.000000
0.2,198,3.316310,1.658155,1.000000
0.2,199,2.854890,1.431611,1.002918
0.2,200,6.124972,3.076851,1.004691
0.2,201,6.879941,3.439970,1.000000
0.2,202,4.916387,2.458193,1.000000
0.2,203,3.675112,1.837556,1.000000
0.2,204,3.498478,1.749239,1.000000
0.2,205,4.223958,2.111979,1.000000
0.2,206,34.130391,17.065195,1.000000
0.2,207,4.897036,2.448518,1.000000
0.2,208,4.166084,2.083437,1.000189
0.2,209,5.483987,2.741994,1.000000
0.2,210,6.006408,3.003204,1.000000
0.2,211,2.367458,1.183729,1.000000
0.2,212,3.138615,1.569308,1.000000
0.2,213,1.844125,0.922063,1.000000
0.2,214,4.840376,2.420188,1.000000
0.2,215,3.114228,1.557114,1.000000
0.2,216,8.192899,4.096449,1.000000
0.2,217,4.632284,2.316142,1.000000
0.2,218,1.147267,0.573633,1.000000
0.2,219,5.253252,2.626626,1.000000
0.2,220,4.078235,2.039118,1.000000
0.2,221,3.907485,1.953742,1.000000
0.2,222,7.187269,3.593635,1.000000
0.2,223,3.957745,1.978872,1.000000
0.2,224,1.584481,0.793035,1.001003
0.2,225,5.372527,2.686263,1.000000
0.2,226,6.825226,3.412613,1.000000
0.2,227,5.689483,2.912096,1.023677
0.2,228,13.126040,6.563020,1.000000
0.2,229,1.782723,0.911310,1.022380
0.2,230,2.988461,1.494248,1.000012
0.2,231,4.439625,2.334080,1.051476
0.2,232,6.303970,3.152953,1.000307
0.2,233,3.152426,1.576213,1.000000
0.2,234,6.425319,3.212660,1.000000
0.2,235,10.485405,5.242702,1.000000
0.2,236,6.578334,3.289167,1.000000
0.2,237,2.301169,1.150585,1.000000
0.2,238,9.690546,4.846461,1.000245
0.2,239,3.070197,1.535098,1.000000
0.2,240,0.715616,0.357808,1.000000
0.2,241,8.179464,4.089732,1.000000
0.2,242,7.114970,3.557485,1.000000
0.2,243,4.233298,2.116649,1.000000
0.2,244,2.248126,1.124063,1.000000
0.2,245,4.044386,2.022193,1.000000
0.2,246,1.377359,0.688680,1.000000
0.2,247,1.769428,0.884714,1.000000
0.2,248,3.185853,1.635518,1.026738
0.2,249,4.432752,2.221931,1.002506
0.2,250,1.309046,0.655570,1.001600
0.2,251,1.536441,0.768220,1.000000
0.2,252,4.031362,2.015681,1.000000
0.2,253,0.698679,0.349340,1.000000
0.2,254,4.695783,2.347896,1.000002
0.2,255,3.176132,1.588066,1.000000
0.2,256,2.068289,1.039728,1.005399
0.2,257,2.958891,1.479445,1.000000
0.2,258,4.504944,2.252472,1.000000
0.2,259,10.291064,5.145532,1.000000
0.2,260,7.483700,3.741850,1.000000
0.2,261,10.774699,5.387350,1.000000
0.2,262,8.996299,4.498149,1.000000
0.2,263,7.933908,3.966954,1.000000
0.2,264,4.472458,2.236229,1.000000
0.2,265,3.101986,1.550993,1.000000
0.2,266,4.008467,2.004234,1.000000
0.2,267,6.686930,3.343465,1.000000
0.2,268,16.868478,8.434239,1.000000
0.2,269,1.956689,0.978345,1.000000
0.2,270,1.968738,0.984369,1.000000
0.2,271,1.195042,0.605085,1.012658
0.2,272,2.085040,1.052537,1.009608
0.2,273,2.503726,1.251863,1.000000
0.2,274,2.550977,1.275488,1.000000
0.2,275,6.270109,3.135054,1.000000
0.2,276,5.420359,2.710179,1.000000
0.2,277,3.353521,1.676761,1.000000
0.2,278,2.046073,1.044300,1.020785
0.2,279,5.674297,2.837148,1.000000
0.2,280,3.148890,1.585046,1.006733
0.2,281,6.909457,3.458873,1.001200
0.2,282,4.836045,2.418022,1.000000
0.2,283,1.178171,0.589086,1.000000
0.2,284,11.589772,5.794886,1.000000
0.2,285,1.530662,0.771451,1.007997
0.2,286,1.721551,0.860776,1.000000
0.2,287,25.047194,12.523597,1.000000
0.2,288,15.308946,7.654473,1.000000
0.2,289,4.128412,2.064206,1.000000
0.2,290,7.709985,3.854992,1.000000
0.2,291,4.142081,2.071040,1.000000
0.2,292,2.458329,1.229164,1.000000
0.2,293,9.851819,4.925910,1.000000
0.2,294,7.298839,3.649419,1.000000
0.2,295,3.174280,1.587140,1.000000
0.2,296,6.735756,3.367878,1.000000
0.2,297,5.236757,2.618379,1.000000
0.2,298,3.648196,1.824098,1.000000
0.2,299,2.176185,1.088093,1.000000
0.5,0,27.534161,13.767080,1.000000
0.5,1,19.911376,9.955688,1.000000
0.5,2,34.200658,17.100329,1.000000
0.5,3,14.910134,7.455067,1.000000
0.5,4,18.524710,9.262355,1.000000
0.5,5,14.772223,7.386111,1.000000
0.5,6,4.960529,2.480265,1.000000
0.5,7,3.091101,1.546251,1.000453
0.5,8,16.152697,8.076349,1.000000
0.5,9,16.675445,8.337723,1.000000
0.5,10,4.436390,2.282200,1.028854
0.5,11,3.407574,1.703787,1.000000
0.5,12,31.684407,15.842204,1.000000
0.5,13,14.902204,7.451102,1.000000
0.5,14,16.100491,8.068208,1.002231
0.5,15,7.877475,3.938737,1.000000
0.5,16,5.683881,2.841940,1.000000
0.5,17,23.154030,11.577015,1.000000
0.5,18,13.557742,6.778871,1.000000
0.5,19,7.280094,3.640047,1.000000
0.5,20,7.884716,3.942358,1.000000
0.5,21,14.093501,7.046751,1.000000
0.5,22,10.622001,5.311001,1.000000
0.5,23,9.853885,4.926943,1.000000
0.5,24,8.061605,4.030803,1.000000
0.5,25,16.618961,8.906472,1.071845
0.5,26,24.709008,12.354504,1.000000
0.5,27,4.402723,2.201362,1.000000
0.5,28,7.586183,3.793091,1.000000
0.5,29,3.651904,1.825952,1.000000
0.5,30,15.000725,7.500362,1.000000
0.5,31,17.083196,8.541598,1.000000
0.5,32,2.679333,1.339666,1.000000
0.5,33,11.066597,5.533299,1.000000
0.5,34,30.248511,15.124255,1.000000
0.5,35,22.674032,11.337016,1.000000
0.5,36,6.691717,3.345858,1.000000
0.5,37,13.753160,6.876580,1.000000
0.5,38,8.344059,4.172030,1.000000
0.5,39,7.680152,3.840076,1.000000
0.5,40,23.680595,11.840297,1.000000
0.5,41,3.025242,1.512621,1.000000
0.5,42,6.031670,3.015835,1.000000
0.5,43,3.335476,1.668998,1.000756
0.5,44,10.551895,5.275947,1.000000
0.5,45,19.260471,9.631500,1.000131
0.5,46,17.420074,8.710037,1.000000
0.5,47,5.652606,2.826303,1.000000
0.5,48,15.613582,7.806791,1.000000
0.5,49,13.909091,6.954545,1.000000
0.5,50,5.718377,2.859189,1.000000
0.5,51,8.432695,4.216347,1.000000
0.5,52,12.471229,6.235614,1.000000
0.5,53,5.117429,2.558714,1.000000
0.5,54,6.165895,3.082948,1.000000
0.5,55,8.922461,4.461231,1.000000
0.5,56,5.502357,2.751179,1.000000
0.5,57,6.738439,3.369220,1.000000
0.5,58,21.790556,10.895278,1.000000
0.5,59,13.914613,6.979941,1.003253
