N,scene_idx,D_m,D_ref_m,R_star_m,R_star_ref_m,q,q_ref
32,131,22.713473,22.713473,11.356737,11.356737,1.000000,1.000000
32,132,16.597621,16.597621,8.334103,8.334103,1.004253,1.004253
32,133,17.464226,17.464226,8.732113,8.732113,1.000000,1.000000
32,134,42.491912,42.491912,21.245956,21.245956,1.000000,1.000000
32,135,32.070578,32.070578,16.035289,16.035289,1.000000,1.000000
32,136,16.025414,16.025414,8.012707,8.012707,1.000000,1.000000
32,137,33.226981,33.226981,16.613491,16.613491,1.000000,1.000000
32,138,18.521570,18.521570,9.260785,9.260785,1.000000,1.000000
32,139,36.328330,36.328330,18.164165,18.164165,1.000000,1.000000
32,140,47.206734,47.206734,23.603367,23.603367,1.000000,1.000000
32,141,14.473740,14.473740,7.268246,7.268246,1.004336,1.004336
32,142,5.290657,5.290657,2.651390,2.651390,1.002291,1.002291
32,143,19.388660,19.388660,9.694330,9.694330,1.000000,1.000000
32,144,24.800567,24.800567,12.400284,12.400284,1.000000,1.000000
32,145,96.008070,96.008070,48.004035,48.004035,1.000000,1.000000
32,146,11.562530,11.562530,5.820246,5.820246,1.006743,1.006743
32,147,16.200410,16.200410,8.100205,8.100205,1.000000,1.000000
32,148,50.147782,50.147782,25.073891,25.073891,1.000000,1.000000
32,149,15.636871,15.636871,7.818435,7.818435,1.000000,1.000000
32,150,415.275857,413.567197,207.637928,206.783599,1.000000,1.000000
32,151,39.862837,39.862837,19.931418,19.931418,1.000000,1.000000
32,152,84.783757,84.783757,42.391878,42.391878,1.000000,1.000000
32,153,18.243660,18.243660,9.121830,9.121830,1.000000,1.000000
