case,n,status,D_m,q,covered,true_source_contained
50,2,bounded,24.32276854552565,1.0,True,True
50,3,bounded,24.062451678780366,1.0,True,True
50,5,bounded,18.248669805032478,1.0,True,True
50,8,bounded,18.2486698050324,1.0,True,True
50,12,bounded,3.554409514785394,1.0,True,True
51,2,bounded,34.7470657274714,1.000000000000001,True,True
51,3,bounded,34.74706572747144,1.0,True,True
51,5,bounded,4.284993078632726,1.0,True,True
51,8,bounded,4.284993078632777,1.0000000000000118,True,True
51,12,bounded,3.9979460529258244,1.0000000000000113,True,True
52,2,bounded,95.97112498019463,1.0,True,True
52,3,bounded,40.25323108335584,1.0000000000000053,True,True
52,5,bounded,13.136459001348355,1.0230707221718482,False,True
52,8,bounded,9.354340666911956,1.000000000000011,True,True
52,12,bounded,8.901068215076924,1.0000000000000047,True,True
53,2,bounded,40.83095458574833,1.0000000000000029,True,True
53,3,bounded,35.75717208775092,1.000000000000003,True,True
53,5,bounded,14.679950822661638,1.0,True,True
53,8,bounded,14.679950822661514,1.0000000000000073,True,True
53,12,bounded,6.6874209492537355,1.0000000000000169,True,True
54,2,bounded,128.98676565210243,1.0000000000000007,True,True
54,3,bounded,12.926965070496186,1.0,True,True
54,5,bounded,6.39337894422032,1.0000000000000344,True,True
54,8,bounded,6.393378944220233,1.0000000000000389,True,True
54,12,bounded,6.393378944220291,1.0000000000000389,True,True
55,2,bounded,75.93043944966972,1.0,True,True
55,3,bounded,23.741831339132684,1.000000000000001,True,True
55,5,bounded,17.073604411620767,1.0000000000000042,True,True
55,8,bounded,16.729972933630584,1.0000000000000024,True,True
55,12,bounded,12.351791329503694,1.0000000000000022,True,True
56,2,bounded,45.260021459135025,1.0000000000000047,True,True
56,3,bounded,25.900475790711525,1.000000000000003,True,True
56,5,bounded,24.579868327817756,1.0,True,True
56,8,bounded,15.261160586594476,1.0000000000000102,True,True
56,12,bounded,3.6921911316497162,1.0,True,True
57,2,bounded,40.188747390740055,1.0000000000000009,True,True
57,3,bounded,40.18874739074009,1.0,True,True
57,5,bounded,29.571527947445315,1.000000000000004,True,True
57,8,bounded,12.33436571777309,1.0000000000000027,True,True
57,12,bounded,4.299329551868298,1.0000208366270409,False,True
