pose,case,strategy,S1_x,S1_y,G_x,G_y,R_true,e1,e2,bearing1,S2_x,S2_y,status,D_upper,D_lower,optical_guaranteed,bracket_width
center,25,minimax,0.0,0.0,-432.6267079200578,1302.9324088444907,1381.4667524930444,0.8651461290482074,0.27280127265413845,109.23341763919879,-792.7896845509924,616.2737188783827,direction,93.84402489690996,93.84402439461596,False,5.022940001708776e-07
center,25,along_750,0.0,0.0,-432.6267079200578,1302.9324088444907,1381.4667524930444,0.8651461290482074,0.27280127265413845,109.23341763919879,-247.06304718114933,708.1382991461238,direction,745.2500023784318,745.2216750984103,False,0.02832728002147178
center,25,perpendicular_1000,0.0,0.0,-432.6267079200578,1302.9324088444907,1381.4667524930444,0.8651461290482074,0.27280127265413845,109.23341763919879,-944.1843988614984,-329.41739624153246,no_signal,,,False,
center,25,random_omega,0.0,0.0,-432.6267079200578,1302.9324088444907,1381.4667524930444,0.8651461290482074,0.27280127265413845,109.23341763919879,-396.6041248334888,-643.4439292547204,no_signal,,,False,
center,26,minimax,0.0,0.0,-1026.0681925636063,204.1256103647488,1419.620577981376,0.2254738933869198,-0.15971360927810263,168.97397219065735,-931.8076366246522,-374.22360807227864,direction,50.493301198141374,50.49330085534143,False,3.427999430982709e-07
center,26,along_750,0.0,0.0,-1026.0681925636063,204.1256103647488,1419.620577981376,0.2254738933869198,-0.15971360927810263,168.97397219065735,-736.1553023834107,143.4411753046844,direction,745.2389715854946,745.2106335848789,False,0.028338000615690362
center,26,perpendicular_1000,0.0,0.0,-1026.0681925636063,204.1256103647488,1419.620577981376,0.2254738933869198,-0.15971360927810263,168.97397219065735,-191.25490040624587,-981.540403177881,no_signal,,,False,
center,26,random_omega,0.0,0.0,-1026.0681925636063,204.1256103647488,1419.620577981376,0.2254738933869198,-0.15971360927810263,168.97397219065735,1216.5491857733803,785.6477934092918,no_signal,,,False,
center,27,minimax,0.0,0.0,177.53133081784807,223.89422472568248,1423.721164251024,-0.8311494400227111,0.6950811823227794,50.757071736982546,110.81624082735101,998.0122951544979,direction,49.67827209685617,49.67827158153931,False,5.153168558535981e-07
center,27,along_750,0.0,0.0,177.53133081784807,223.89422472568248,1423.721164251024,-0.8311494400227111,0.6950811823227794,50.757071736982546,474.4573081938687,580.8530474237251,direction,740.0019898022907,740.0018015853532,False,0.00018821693754489388
center,27,perpendicular_1000,0.0,0.0,177.53133081784807,223.89422472568248,1423.721164251024,-0.8311494400227111,0.6950811823227794,50.757071736982546,-774.4707298983001,632.6097442584916,direction,42.52908711478792,42.52908680473098,False,3.100569401226494e-07
center,27,random_omega,0.0,0.0,177.53133081784807,223.89422472568248,1423.721164251024,-0.8311494400227111,0.6950811823227794,50.757071736982546,-628.0273937296349,1237.0148891434076,direction,49.42107228019269,49.421071998231355,False,2.819613342808225e-07
center,28,minimax,0.0,0.0,1132.3478134162083,467.54661234926874,1339.1223576910663,0.10327991028379757,0.4257294523734887,22.53901896664292,569.5348105510631,827.005973425355,direction,73.06296240298325,73.06296197193146,False,4.31051788041259e-07
center,28,along_750,0.0,0.0,1132.3478134162083,467.54661234926874,1339.1223576910663,0.10327991028379757,0.4257294523734887,22.53901896664292,692.7140304497993,287.4843856942399,direction,745.0834108538929,745.0550787133938,False,0.028332140499173875
center,28,perpendicular_1000,0.0,0.0,1132.3478134162083,467.54661234926874,1339.1223576910663,0.10327991028379757,0.4257294523734887,22.53901896664292,-383.31251425898654,923.6187072663992,no_signal,,,False,
center,28,random_omega,0.0,0.0,1132.3478134162083,467.54661234926874,1339.1223576910663,0.10327991028379757,0.4257294523734887,22.53901896664292,-218.28147212739242,751.5422901610463,no_signal,,,False,
center,29,minimax,0.0,0.0,748.7798542568994,776.0736739485744,1086.7683291276496,-0.2676996315595994,-0.5141716135460122,45.75774554726604,197.36547582981817,984.5586064126014,direction,53.73941372376085,53.739413367464884,False,3.562959633995888e-07
center,29,along_750,0.0,0.0,748.7798542568994,776.0736739485744,1086.7683291276496,-0.2676996315595994,-0.5141716135460122,45.75774554726604,523.2702149784234,537.2972009199699,direction,745.1096483181022,745.0813151888747,False,0.028333129227576137
center,29,perpendicular_1000,0.0,0.0,748.7798542568994,776.0736739485744,1086.7683291276496,-0.2676996315595994,-0.5141716135460122,45.75774554726604,-716.3962678932933,697.6936199712312,no_signal,,,False,
center,29,random_omega,0.0,0.0,748.7798542568994,776.0736739485744,1086.7683291276496,-0.2676996315595994,-0.5141716135460122,45.75774554726604,-577.7970801118664,1639.1447096664167,no_signal,,,False,
center,30,minimax,0.0,0.0,531.8913113437635,-578.9591575130063,1128.636621263634,0.49057096405084555,-0.1131157567235268,-46.93565731606302,974.1964696820778,-243.41326785865778,direction,35.236726380183256,35.236726085113894,True,2.950693627212786e-07
